Team,unique_id,Arena,Capacity,City,State,Latitude,Longitude,Logos
Abilene Christian,1,Moody Coliseum,4600,Abilene,TX,32.470783,-99.709147,Logos/Abilene Christian.gif
Air Force,2,Clune Arena,5858,Colorado Springs,CO,39.013952,-104.883787,Logos/Air Force.gif
Akron,3,James A. Rhodes Arena,5500,Akron,OH,41.075816,-81.50601,Logos/Akron.gif
Alabama,4,Coleman Coliseum,15383,Tuscaloosa,AL,33.203609,-87.53953,Logos/Alabama.gif
Alabama A&M,5,Elmore Gymnasium,6000,Normal,AL,34.785559,-86.575436,Logos/Alabama A&M.gif
Alabama St.,6,Dunn-Oliver Acadome,7400,Montgomery,AL,32.361867,-86.29318,Logos/Alabama St..gif
Albany,7,SEFCU Arena,4538,Guilderland,NY,42.68222,-73.828309,Logos/Albany.gif
Alcorn St.,8,Davey Whitney Complex,7000,Lorman,MS,31.873585,-91.133198,Logos/Alcorn St..gif
American,9,Bender Arena,4500,Washington,DC,38.938637,-77.088249,Logos/American.gif
Appalachian St.,10,George M. Holmes Convocation Center,8325,Boone,NC,36.211562,-81.674992,Logos/Appalachian St..gif
Arizona,11,McKale Center,14545,Tucson,AZ,32.230408,-110.948059,Logos/Arizona.gif
Arizona St.,12,Desert Financial Arena,14100,Tempe,AZ,33.425283,-111.92864,Logos/Arizona St..gif
Arkansas,13,Bud Walton Arena,19368,Fayetteville,AR,36.062464,-94.177369,Logos/Arkansas.gif
Arkansas Little Rock,14,Jack Stephens Center,5600,Little Rock,AR,34.729086,-92.338826,Logos/Arkansas Little Rock.gif
Arkansas Pine Bluff,15,K. L. Johnson Complex,4500,Pine Bluff,AR,34.246573,-92.021619,Logos/Arkansas Pine Bluff.gif
Arkansas St.,16,First National Bank Arena,10563,Jonesboro,AR,35.845998,-90.672396,Logos/Arkansas St..gif
Army,17,Christl Arena,5043,West Point,NY,41.38697,-73.964486,Logos/Army.gif
Auburn,18,Auburn Arena,9121,Auburn,AL,32.603843,-85.490053,Logos/Auburn.gif
Austin Peay,19,Dunn Center,9000,Clarksville,TN,36.019608,-77.7769,Logos/Austin Peay.gif
Ball St.,20,John E. Worthen Arena,11500,Muncie,IN,40.207722,-85.403697,Logos/Ball St..gif
Baylor,21,Ferrell Center,10347,Waco,TX,31.548617,-97.104296,Logos/Baylor.gif
Belmont,22,Curb Event Center,5085,Nashville,TN,36.133194,-86.795917,Logos/Belmont.gif
Bethune Cookman,23,Moore Gymnasium,3000,Daytona,FL,29.213052,-81.028984,Logos/Bethune Cookman.gif
Binghamton,24,Binghamton University Events Center,5142,Vestal,NY,42.094525,-75.968009,Logos/Binghamton.gif
Boise St.,26,Taco Bell Arena,12480,Boise,ID,43.604233,-116.19744,Logos/Boise St..gif
Boston College,27,Conte Forum,8606,Chestnut Hill,MA,42.336366,-71.167577,Logos/Boston College.gif
Boston University,28,Case Gym,1800,Boston,MA,42.354857,-71.120316,Logos/Boston University.gif
Bowling Green,29,Stroh Center,4700,Bowling Green,OH,41.376457,-83.62608,Logos/Bowling Green.gif
Bradley,30,Peoria Civic Center,11164,Peoria,IL,40.692704,-89.592518,Logos/Bradley.gif
Brown,31,Pizzitola Sports Center,2800,Providence,RI,41.832465,-71.397788,Logos/Brown.gif
Bryant,32,Chace Athletic Center,2700,Smithfield,RI,41.921824,-71.539372,Logos/Bryant.gif
Bucknell,33,Sojka Pavilion,4000,Lewisburg,PA,40.957546,-76.886282,Logos/Bucknell.gif
Buffalo,34,Alumni Arena,6100,Amherst,NY,43.000738,-78.780524,Logos/Buffalo.gif
Butler,35,Hinkle Fieldhouse,9100,Indianapolis,IN,39.844117,-86.165848,Logos/Butler.gif
BYU,36,Marriott Center,19000,Provo,UT,40.254785,-111.649342,Logos/BYU.gif
Cal Baptist,37,CBU Events Center,5050,Riverside,CA,33.928009,-117.420123,Logos/Cal Baptist.gif
Cal Poly,38,Robert A. Mott Athletics Center,3032,San Luis Obispo,CA,35.29985,-35.29985,Logos/Cal Poly.gif
Cal St. Bakersfield,39,Icardo Center,3800,Bakersfield,CA,35.350236,-119.100145,Logos/Cal St. Bakersfield.gif
Cal St. Fullerton,40,Titan Gym,4000,Fullerton,CA,33.883805,-117.884042,Logos/Cal St. Fullerton.gif
Cal St. Northridge,41,Matadome,2400,Northridge,CA,34.242659,-118.524703,Logos/Cal St. Northridge.gif
California,42,Haas Pavilion,11877,Berkeley,CA,37.870319,-122.261579,Logos/California.gif
Campbell,43,"John W. Pope, Jr. Convocation Center",3095,Buies Creek,NC,35.408718,-78.735498,Logos/Campbell.gif
Canisius,44,Koessler Athletic Center,2176,Buffalo,NY,42.921635,-78.857789,Logos/Canisius.gif
Central Arkansas,46,Farris Center,6000,Conway,AR,35.082461,-92.458811,Logos/Central Arkansas.gif
Central Connecticut,47,William H. Detrick Gymnasium,2654,New Britain,CT,41.69328,-72.765506,Logos/Central Connecticut.gif
Central Michigan,48,McGuirk Arena,5300,Mount Pleasant,MI,43.582022,-84.772643,Logos/Central Michigan.gif
Charleston Southern,50,CSU Field House,881,North Charleston,SC,40.575923,-105.074921,Logos/Charleston Southern.gif
Charlotte,51,Dale F. Halton Arena,9105,Charlotte,NC,35.307068,-80.732436,Logos/Charlotte.gif
Chattanooga,52,McKenzie Arena,10928,Chattanooga,TN,35.050889,-85.2992,Logos/Chattanooga.gif
Chicago St.,53,Emil and Patricia Jones Convocation Center,7000,Chicago,IL,41.717547,-87.605296,Logos/Chicago St..gif
Centenary,45,Gold Dome,3000,Shreeport,LA,32.481044,-93.729752,Logos/Centenary.gif
Cincinnati,54,Fifth Third Arena,12012,Cincinnati,OH,39.131729,-84.510974,Logos/Cincinnati.gif
Clemson,55,Littlejohn Coliseum,9000,Clemson,SC,34.68126,-82.845223,Logos/Clemson.gif
Cleveland St.,56,Wolstein Center,13610,Cleveland,OH,41.500348,-81.674868,Logos/Cleveland St..gif
Coastal Carolina,57,HTC Center,3600,Conway,SC,33.799786,-79.015021,Logos/Coastal Carolina.gif
Colgate,58,Cotterell Court,1750,Hamilton,NY,42.816084,-75.54118,Logos/Colgate.gif
College of Charleston,59,TD Arena,5100,Charleston,SC,32.786593,-79.93214,Logos/College of Charleston.gif
Colorado,60,CU Events Center,11064,Boulder,CO,40.005291,-105.257882,Logos/Colorado.gif
Colorado St.,61,Moby Arena,8745,Fort Collins,CO,40.576401,-105.092538,Logos/Colorado St..gif
Columbia,62,Levien Gymnasium,3408,New York,NY,40.811314,-73.95968,Logos/Columbia.gif
Connecticut,63,XL Center,15600,Hartford,CT,41.769185,-41.769185,Logos/Connecticut.gif
Coppin St.,64,Physical Education Complex,4100,Baltimore,MD,39.316044,-76.654904,Logos/Coppin St..gif
Cornell,65,Newman Arena,4473,Ithaca,NY,42.446252,-76.474097,Logos/Cornell.gif
Creighton,66,CHI Health Center Omaha,18320,Omaha,NE,41.264789,-95.927609,Logos/Creighton.gif
Dartmouth,67,Leede Arena,2100,Hanover,NH,43.703868,-72.281543,Logos/Dartmouth.gif
Davidson,68,John M. Belk Arena,5223,Davidson,NC,35.499986,-80.838769,Logos/Davidson.gif
Dayton,69,University of Dayton Arena,13435,Dayton,OH,39.736337,-84.199029,Logos/Dayton.gif
Delaware,70,Bob Carpenter Center,5000,Newark,DE,39.661216,-75.747832,Logos/Delaware.gif
Delaware St.,71,Memorial Hall,3000,Dover,DE,39.188153,-75.540878,Logos/Delaware St..gif
Denver,72,Magness Arena,7200,Denver,CO,39.682703,-104.959613,Logos/Denver.gif
DePaul,73,Wintrust Arena,10387,Chicago,IL,41.85471,-87.619884,Logos/DePaul.gif
Detroit,74,Calihan Hall,8295,Detroit,MI,42.414938,-83.133529,Logos/Detroit.gif
Drake,75,Knapp Center,7152,Des Moines,IA,41.605554,-93.649739,Logos/Drake.gif
Drexel,76,Daskalakis Athletic Center,2509,Philadelphia,PA,39.956919,-75.19056,Logos/Drexel.gif
Duke,77,Cameron Indoor Stadium,9314,Durham,NC,35.998027,-78.93933,Logos/Duke.gif
Duquesne,78,Palumbo Center,4406,Pittsburgh,PA,40.43794,-79.987309,Logos/Duquesne.gif
East Carolina,79,Williams Arena at Minges Coliseum,8000,Greenville,NC,35.598358,-77.364934,Logos/East Carolina.gif
East Tennessee St.,80,Freedom Hall Civic Center,6149,Johnson City,TN,36.324992,-82.372853,Logos/East Tennessee St..gif
Eastern Illinois,81,Lantz Arena,5300,Charleston,IL,39.480964,-88.178548,Logos/Eastern Illinois.gif
Eastern Kentucky,82,Alumni Coliseum,6500,Richmond,KY,37.737894,-84.298569,Logos/Eastern Kentucky.gif
Eastern Michigan,83,Convocation Center,8824,Ypsilanti,MI,42.254864,-83.644958,Logos/Eastern Michigan.gif
Eastern Washington,84,Reese Court,6000,Cheney,WA,47.491981,-117.587976,Logos/Eastern Washington.gif
Elon,85,Schar Center,5100,Elon,NC,36.108727,-79.50819,Logos/Elon.gif
Evansville,86,Ford Center,10000,Evansville,IN,37.972333,-87.564575,Logos/Evansville.gif
Fairfield,87,Webster Bank Arena,9000,Bridgeport,CT,41.174341,-73.185114,Logos/Fairfield.gif
Fairleigh Dickinson,88,Rothman Center,5000,Hackensack,NJ,40.897404,-74.030501,Logos/Fairleigh Dickinson.gif
FIU,89,O'Connell Center,12000,Gainesville,FL,29.650658,-82.349095,Logos/FIU.gif
Florida,90,Teaching Gym,9639,Tallahassee,FL,30.424731,-84.287243,Logos/Florida.gif
Florida A&M,91,FAU Arena,5000,Boca Raton,FL,26.373147,-80.108378,Logos/Florida A&M.gif
Florida Atlantic,92,Alico Arena,4500,Fort Myers,FL,26.472061,-81.762434,Logos/Florida Atlantic.gif
Florida Gulf Coast,93,Ocean Bank Convocation Center,5000,Miami,FL,25.757583,-80.377395,Logos/Florida Gulf Coast.gif
Florida St.,94,Donald L. Tucker Civic Center,12100,Tallahassee,FL,30.43867,-84.284984,Logos/Florida St..gif
Fordham,95,Rose Hill Gymnasium,3200,Bronx,NY,40.862957,-73.881534,Logos/Fordham.gif
Fort Wayne,96,Hillard Gates Sports Center,2300,Fort Wayne,IN,41.120215,-85.105503,Logos/Fort Wayne.gif
Fresno St.,97,Save Mart Center,15544,Fresno,CA,36.810591,-119.737175,Logos/Fresno St..gif
Furman,98,Timmons Arena,4000,Greenville,SC,34.918603,-82.433899,Logos/Furman.gif
Gardner Webb,99,Paul Porter Arena,5000,Boiling Springs,NC,35.247139,-81.666081,Logos/Gardner Webb.gif
George Mason,100,EagleBank Arena,10000,Fairfax,VA,38.827609,-77.308288,Logos/George Mason.gif
George Washington,101,Charles E. Smith Center,5000,Washington,DC,38.899111,-77.04677,Logos/George Washington.gif
Georgetown,102,Capital One Arena,20308,Washington,DC,38.898862,-77.021144,Logos/Georgetown.gif
Georgia,103,Stegeman Coliseum,10523,Athens,GA,33.943335,-83.376518,Logos/Georgia.gif
Georgia Southern,104,Hanner Fieldhouse,4325,Statesboro,GA,32.428513,-81.775266,Logos/Georgia Southern.gif
Georgia St.,105,GSU Sports Arena,3854,Atlanta,GA,33.75265,-84.383701,Logos/Georgia St..gif
Georgia Tech,106,Hank McCamish Pavilion,8600,Atlanta,GA,33.781424,-84.390937,Logos/Georgia Tech.gif
Gonzaga,107,McCarthey Athletic Center,6000,Spokane,WA,47.666202,-117.398196,Logos/Gonzaga.gif
Grambling St.,108,Fredrick C. Hobdy Assembly Center,7500,Grambling,LA,32.521295,-92.721067,Logos/Grambling St..gif
Grand Canyon,109,GCU Arena,7500,Phoenix,AZ,33.510453,-112.127324,Logos/Grand Canyon.gif
Green Bay,110,Resch Center,9729,Ashwaubenon,WI,44.500231,-88.05277,Logos/Green Bay.gif
Hampton,111,Hampton Convocation Center,7200,Hampton,VA,37.020756,-76.328511,Logos/Hampton.gif
Hartford,112,Chase Arena,4017,Hartford,CT,41.802383,-72.715672,Logos/Hartford.gif
Harvard,113,Lavietes Pavilion,2195,Allston,MA,42.369098,-71.124237,Logos/Harvard.gif
Hawaii,114,Stan Sheriff Center,10300,Honolulu,HI,21.295348,-157.817117,Logos/Hawaii.gif
High Point,115,Millis Athletic Convocation Center,1750,High Point,NC,35.973966,-79.992422,Logos/High Point.gif
Hofstra,116,Hofstra Arena,5124,Hempstead,NY,40.720662,-73.593415,Logos/Hofstra.gif
Holy Cross,117,Hart Center,3600,Worcester,MA,42.235496,-71.805289,Logos/Holy Cross.gif
Houston,118,Fertitta Center,7100,Houston,TX,29.725477,-95.345248,Logos/Houston.gif
Houston Baptist,119,Sharp Gymnasium,1000,Houston,TX,29.69601,-95.514713,Logos/Houston Baptist.gif
Howard,120,Burr Gymnasium,2700,Washington,DC,38.92698,-77.020377,Logos/Howard.gif
Idaho,121,Cowan Spectrum,7000,Moscow,ID,46.726977,-117.015076,Logos/Idaho.gif
Idaho St.,122,Holt Arena,8000,Pocatello,ID,42.870503,-112.427324,Logos/Idaho St..gif
Illinois,123,State Farm Center,15544,Champaign,IL,40.096692,-88.234311,Logos/Illinois.gif
Illinois Chicago,124,Credit Union 1 Arena,6115,Chicago,IL,41.875756,-87.65428,Logos/Illinois Chicago.gif
Illinois St.,125,Redbird Arena,10200,Normal,IL,40.511473,-88.996783,Logos/Illinois St..gif
Incarnate Word,126,McDermott Center,2000,San Antonio,TX,29.468802,-98.468492,Logos/Incarnate Word.gif
Indiana,127,Simon Skjodt Assembly Hall,17472,Bloomington,IN,39.181423,-86.521167,Logos/Indiana.gif
Indiana St.,128,Hulman Center,10200,Terre Haute,IN,39.46891,-87.402677,Logos/Indiana St..gif
Iona,129,Hynes Athletic Center,2611,New Rochelle,NY,40.927886,-73.783454,Logos/Iona.gif
Iowa,130,Carver-Hawkeye Arena,15500,Iowa City,IA,41.664259,-91.552373,Logos/Iowa.gif
Iowa St.,131,Hilton Coliseum,14376,Ames,IA,42.021843,-93.632598,Logos/Iowa St..gif
IPFW,132,Hillard Gates Sports Center,2300,Fort Wayne,IN,41.120442,-85.105546,Logos/IPFW.gif
IUPUI,133,Indiana Farmers Coliseum,6841,Indianapolis,IN,39.827872,-86.132664,Logos/IUPUI.gif
Jackson St.,134,Williams Assembly Center,8000,Jackson,MS,32.300731,-90.209499,Logos/Jackson St..gif
Jacksonville,135,Swisher Gymnasium,1500,Jacksonville,FL,30.350938,-81.60243,Logos/Jacksonville.gif
Jacksonville St.,136,Pete Mathews Coliseum,5300,Jacksonville,AL,33.825157,-85.771883,Logos/Jacksonville St..gif
James Madison,137,James Madison University Convocation Center,7156,Harrisonburg,VA,38.43259,-78.867344,Logos/James Madison.gif
Kansas,138,Allen Fieldhouse,16300,Lawrence,KS,38.955101,-95.248315,Logos/Kansas.gif
Kansas St.,139,Bramlage Coliseum,12528,Manhattan,KS,39.201224,-96.5916,Logos/Kansas St..gif
Kennesaw St.,140,KSU Convocation Center,4792,Kennesaw,GA,34.037819,-84.577837,Logos/Kennesaw St..gif
Kent St.,141,Memorial Athletic and Convocation Center,6327,Kent,OH,41.148631,-81.342578,Logos/Kent St..gif
Kentucky,142,Rupp Arena,20545,Lexington,KY,38.04959,-84.50046,Logos/Kentucky.gif
La Salle,143,Tom Gola Arena,3400,Philadelphia,PA,40.04063,-75.153131,Logos/La Salle.gif
Lafayette,144,Kirby Sports Center,3500,Easton,PA,40.702714,-75.208116,Logos/Lafayette.gif
Lamar,145,Montagne Center,10746,Beaumont,TX,30.04491,-94.069298,Logos/Lamar.gif
Lehigh,146,Stabler Arena,6000,Bethlehem,PA,40.586041,-75.35516,Logos/Lehigh.gif
Liberty,147,Vines Center,9547,Lynchburg,VA,37.349632,-79.179004,Logos/Liberty.gif
Lipscomb,148,Allen Arena,5028,Nashville,TN,36.104598,-86.794969,Logos/Lipscomb.gif
Little Rock,149,Jack Stephens Center,5600,Little Rock,AR,34.729121,-92.337882,Logos/Little Rock.gif
LIU Brooklyn,150,Steinberg Wellness Center,2500,Brooklyn,NY,40.691069,-73.977031,Logos/LIU Brooklyn.gif
Long Beach St.,151,Walter Pyramid,5000,Long Beach,CA,33.788575,-118.111686,Logos/Long Beach St..gif
Longwood,152,Willett Hall,1807,Farmville,VA,37.298567,-78.392879,Logos/Longwood.gif
Louisiana,153,Cajundome,13500,Lafayette,LA,30.21908,-92.036901,Logos/Louisiana.gif
Louisiana Lafayette,154,Cajundome,13501,Lafayette,LA,30.21908,-92.036901,Logos/Louisiana Lafayette.gif
Louisiana Monroe,155,Thomas Assembly Center,8098,Ruston,LA,32.533366,-92.658025,Logos/Louisiana Monroe.gif
Louisiana Tech,156,Fant-Ewing Coliseum,7085,Monroe,LA,32.53231,-92.066191,Logos/Louisiana Tech.gif
Louisville,157,KFC Yum! Center,22090,Louisville,KY,38.258614,-85.751555,Logos/Louisville.gif
Loyola Chicago,158,Joseph J. Gentile Arena,4486,Chicago,IL,42.001208,-87.658178,Logos/Loyola Chicago.gif
Loyola Marymount,159,Gersten Pavilion,4156,Los Angeles,CA,33.968554,-118.414614,Logos/Loyola Marymount.gif
Loyola MD,160,Reitz Arena,3000,Baltimore,MD,39.347463,-76.617349,Logos/Loyola MD.gif
LSU,161,Pete Maravich Assembly Center,13215,Baton Rouge,LA,30.414979,-91.183382,Logos/LSU.gif
Maine,162,Cross Insurance Center,5800,Bangor,ME,44.789732,-68.77609,Logos/Maine.gif
Manhattan,163,Draddy Gymnasium,2345,Bronx,NY,40.891234,-73.898404,Logos/Manhattan.gif
Marist,164,McCann Arena,3200,Poughkeepsie,NY,41.718096,-73.933103,Logos/Marist.gif
Marquette,165,Fiserv Forum,17500,Milwaukee,WI,43.045676,-87.916485,Logos/Marquette.gif
Marshall,166,Cam Henderson Center,9048,Huntington,WV,38.425431,-82.424607,Logos/Marshall.gif
Maryland,167,Xfinity Center,17950,College Park,MD,38.9955,-76.9412,Logos/Maryland.gif
Maryland Eastern Shore,168,Hytche Athletic Center,5500,Princess Anne,MD,38.211944,-75.685114,Logos/Maryland Eastern Shore.gif
Massachusetts,169,William D. Mullins Memorial Center,9493,Amherst,MA,42.389952,-42.389952,Logos/Massachusetts.gif
McNeese St.,170,Health and Human Performance Education Complex,4200,Lake Charles,LA,30.174127,-93.207783,Logos/McNeese St..gif
Memphis,171,FedExForum,18119,Memphis,TN,35.139159,-90.048054,Logos/Memphis.gif
Mercer,172,Hawkins Arena,3500,Macon,GA,32.829786,-83.650709,Logos/Mercer.gif
Miami FL,173,Watsco Center,7972,Coral Gables,FL,25.715859,-80.277675,Logos/Miami FL.gif
Miami OH,174,Millett Hall,6400,Oxford,OH,39.518336,-84.734543,Logos/Miami OH.gif
Michigan,175,Crisler Center,12707,Ann Arbor,MI,42.266253,-83.745378,Logos/Michigan.gif
Michigan St.,176,Breslin Student Events Center,14797,East Lansing,MI,42.729057,-84.488893,Logos/Michigan St..gif
Middle Tennessee,177,Murphy Center,11520,Murfreesboro,TN,35.853157,-86.366322,Logos/Middle Tennessee.gif
Milwaukee,179,UW-Milwaukee Panther Arena,10783,Milwaukee,WI,43.042651,-87.915999,Logos/Milwaukee.gif
Minnesota,180,Williams Arena,14625,Minneapolis,MN,44.977545,-93.225022,Logos/Minnesota.gif
Mississippi,181,The Pavilion at Ole Miss,9500,Oxford,MS,34.363437,-89.534042,Logos/Mississippi.gif
Mississippi St.,182,Humphrey Coliseum,10575,Starkville,MS,33.462203,-88.790506,Logos/Mississippi St..gif
Mississippi Valley St.,183,Harrison HPER Complex,5000,Itta Bena,MS,33.513304,-90.339479,Logos/Mississippi Valley St..gif
Missouri,184,Mizzou Arena,15061,Columbia,MO,38.933222,-92.33159,Logos/Missouri.gif
