Team,unique_id,Arena,Capacity,City,State,Latitude,Longitude,Logos
Missouri St.,185,JQH Arena,11000,Springfield,MO,37.202464,-93.279989,Logos/Missouri St..gif
Monmouth,186,OceanFirst Bank Center,4100,West Long Branch,NJ,40.281233,-74.003533,Logos/Monmouth.gif
Montana,187,Dahlberg Arena,7321,Missoula,MT,46.864516,-113.982137,Logos/Montana.gif
Montana St.,188,Worthington Arena,7250,Bozeman,MT,45.663933,-111.048085,Logos/Montana St..gif
Morehead St.,189,Ellis Johnson Arena,6500,Morehead,KY,38.190957,-83.424533,Logos/Morehead St..gif
Morgan St.,190,Talmadge L. Hill Field House,4250,Baltimore,MD,39.342988,-76.583966,Logos/Morgan St..gif
Mount St. Mary's,192,PNC Sports Complex,3121,Emmitsburg,MD,39.680122,-77.343412,Logos/Mount St. Mary's.gif
Murray St.,193,CFSB Center,8602,Murray,KY,36.623421,-88.31833,Logos/Murray St..gif
N.C. State,194,PNC Arena,19557,Raleigh,NC,35.804338,-78.722059,Logos/N.C. State.gif
Navy,195,Alumni Hall,5710,Annapolis,MD,38.985016,-76.485547,Logos/Navy.gif
Nebraska,196,Pinnacle Bank Arena,15147,Lincoln,NE,40.818678,-96.710645,Logos/Nebraska.gif
Nebraska Omaha,197,Baxter Arena,7500,Omaha,NE,41.236992,-96.011017,Logos/Nebraska Omaha.gif
Nevada,198,Lawlor Events Center,11536,Reno,NV,39.54596,-119.816283,Logos/Nevada.gif
New Hampshire,199,Lundholm Gym,3500,Durham,NH,43.139439,-70.935501,Logos/New Hampshire.gif
New Mexico,200,"Dreamstyle Arena ""The Pit""",15411,Albuquerque,NM,35.067737,-106.629558,Logos/New Mexico.gif
New Mexico St.,201,Pan American Center,12482,Las Cruces,NM,32.283965,-106.738952,Logos/New Mexico St..gif
New Orleans,202,Lakefront Arena,8933,New Orleans,LA,30.031661,-90.04796,Logos/New Orleans.gif
Niagara,203,Gallagher Center,2400,Lewiston,NY,43.138316,-79.035741,Logos/Niagara.gif
Nicholls St.,204,Stopher Gymnasium,3800,Thibodaux,LA,29.793326,-90.799322,Logos/Nicholls St..gif
NJIT,205,Wellness and Events Center,3500,Newark,NJ,40.742999,-74.179155,Logos/NJIT.gif
Norfolk St.,206,Joseph G. Echols Memorial Hall,7000,Norfolk,VA,36.848862,-76.255579,Logos/Norfolk St..gif
North Alabama,207,Flowers Hall,3900,Florence,AL,34.809104,-87.682181,Logos/North Alabama.gif
North Carolina,208,Dean Smith Center,21750,Chapel Hill,NC,35.90004,-79.041513,Logos/North Carolina.gif
North Carolina A&T,209,Corbett Sports Center,5700,Greensboro,NC,36.077274,-79.767468,Logos/North Carolina A&T.gif
North Carolina Central,210,McDougald-McLendon Arena,3056,Durham,NC,35.977011,-78.895653,Logos/North Carolina Central.gif
North Dakota,211,Betty Engelstad Sioux Center,3300,Grand Forks,ND,47.928314,-97.071356,Logos/North Dakota.gif
North Dakota St.,212,Scheels Center,5700,Fargo,ND,46.904888,-96.795256,Logos/North Dakota St..gif
North Florida,213,UNF Arena,5800,Jacksonville,FL,30.274177,-81.504973,Logos/North Florida.gif
North Texas,214,UNT Coliseum,10032,Denton,TX,33.209348,-97.151574,Logos/North Texas.gif
Northeastern,215,Matthews Arena,6000,Boston,MA,42.342004,-71.08311,Logos/Northeastern.gif
Northern Arizona,216,Walkup Skydome,11230,Flagstaff,AZ,35.181266,-111.650836,Logos/Northern Arizona.gif
Northern Colorado,217,Bank of Colorado Arena,2992,Greeley,CO,40.403034,-104.700082,Logos/Northern Colorado.gif
Northern Illinois,218,Convocation Center,10000,DeKalb,IL,41.936215,-88.783292,Logos/Northern Illinois.gif
Northern Iowa,219,McLeod Center,6650,Cedar Falls,IA,42.514903,-92.464138,Logos/Northern Iowa.gif
Northern Kentucky,220,BB&T Arena,9400,Highland Heights,KY,39.032328,-84.457556,Logos/Northern Kentucky.gif
Northwestern,221,Welsh-Ryan Arena,7039,Evanston,IL,42.067706,-87.689506,Logos/Northwestern.gif
Northwestern St.,222,Prather Coliseum,3900,Natchitoches,LA,31.745267,-93.093321,Logos/Northwestern St..gif
Notre Dame,223,Edmund P. Joyce Center,9149,Notre Dame,IN,41.697893,-86.229725,Logos/Notre Dame.gif
Oakland,224,Athletics Center O'rena,4005,Rochester,MI,42.674217,-83.212358,Logos/Oakland.gif
Ohio,225,Convocation Center,13080,Athens,OH,39.323637,-82.102971,Logos/Ohio.gif
Ohio St.,226,Value City Arena,18809,Columbus,OH,40.00812,-83.02424,Logos/Ohio St..gif
Oklahoma,227,Lloyd Noble Center,11528,Norman,OK,35.188242,-97.440711,Logos/Oklahoma.gif
Oklahoma St.,228,Gallagher-Iba Arena,13611,Stillwater,OK,36.126458,-97.063413,Logos/Oklahoma St..gif
Old Dominion,229,Ted Constant Convocation Center,8472,Norfolk,VA,36.885029,-76.300777,Logos/Old Dominion.gif
Oral Roberts,230,Mabee Center,10554,Tulsa,OK,36.0487,-95.95374,Logos/Oral Roberts.gif
Oregon,231,Matthew Knight Arena,12369,Eugene,OR,44.045752,-123.065581,Logos/Oregon.gif
Oregon St.,232,Gill Coliseum,9604,Corvallis,OR,44.562005,-123.279926,Logos/Oregon St..gif
Pacific,233,Alex G. Spanos Center,6150,Stockton,CA,37.97778,-121.313633,Logos/Pacific.gif
Penn,234,Palestra,8722,Philadelphia,PA,39.952345,-75.187545,Logos/Penn.gif
Penn St.,235,Bryce Jordan Center,15261,State College,PA,40.80978,-77.854748,Logos/Penn St..gif
Pepperdine,236,Firestone Fieldhouse,3104,Malibu,CA,34.039515,-118.704545,Logos/Pepperdine.gif
Pittsburgh,237,Petersen Events Center,12508,Pittsburgh,PA,40.444448,-79.960653,Logos/Pittsburgh.gif
Portland,238,Chiles Center,4852,Portland,OR,45.575694,-122.727167,Logos/Portland.gif
Portland St.,239,Viking Pavilion,3094,Portland,OR,45.511508,-122.685501,Logos/Portland St..gif
Prairie View A&M,240,William J. Nicks Building,6500,Prairie View,TX,30.092772,-95.991511,Logos/Prairie View A&M.gif
Presbyterian,241,Templeton Physical Education Center,2300,Clinton,SC,34.465819,-81.867269,Logos/Presbyterian.gif
Princeton,242,Jadwin Gymnasium,6854,Princeton,NJ,40.344208,-74.648454,Logos/Princeton.gif
Providence,243,Dunkin' Donuts Center,12400,Providence,RI,41.824171,-71.415896,Logos/Providence.gif
Purdue,244,Mackey Arena,14848,West Lafayette,IN,40.434072,-86.913921,Logos/Purdue.gif
Purdue Fort Wayne,245,Hilliard Gates Sports Center,2300,Fort Wayne,IN,41.120312,-85.105503,Logos/Purdue Fort Wayne.gif
Quinnipiac,246,People's United Center,3570,Hamden,CT,41.415207,-72.910704,Logos/Quinnipiac.gif
Radford,247,Dedmon Center,3205,Radford,VA,37.139078,-80.54097,Logos/Radford.gif
Rhode Island,248,Ryan Center,7657,Kingston,RI,41.4902,-71.529085,Logos/Rhode Island.gif
Rice,249,Tudor Fieldhouse,5750,Houston,TX,29.716201,-95.402342,Logos/Rice.gif
Richmond,250,Robins Center,7201,Richmond,VA,37.581197,-77.538966,Logos/Richmond.gif
Rider,251,Alumni Gymnasium,1950,Lawrenceville,NJ,40.279472,-74.734475,Logos/Rider.gif
Robert Morris,252,UPMC Events Center,4000,Moon Township,PA,40.520388,-80.214561,Logos/Robert Morris.gif
Rutgers,253,Rutgers Athletic Center,8000,Piscataway,NJ,40.525511,-74.441214,Logos/Rutgers.gif
Sacramento St.,254,Hornets Nest,1012,Sacramento,CA,38.562216,-121.425778,Logos/Sacramento St..gif
Sacred Heart,255,William H. Pitt Center,2062,Fairfield,CT,41.219873,-73.243977,Logos/Sacred Heart.gif
Saint Joseph's,256,Hagan Arena,4200,Philadelphia,PA,39.995801,-75.234661,Logos/Saint Joseph's.gif
Saint Louis,257,Chaifetz Arena,10600,St. Louis,MO,38.632721,-90.227323,Logos/Saint Louis.gif
Saint Mary's,258,McKeon Pavilion,3500,Moraga,CA,37.841546,-122.105956,Logos/Saint Mary's.gif
Saint Peter's,259,Yanitelli Center,3200,Jersey City,NJ,40.727921,-74.07263,Logos/Saint Peter's.gif
Sam Houston St.,260,Bernard Johnson Coliseum,6100,Huntsville,TX,30.713202,-95.545895,Logos/Sam Houston St..gif
Samford,261,Pete Hanna Center,4974,Homewood,AL,33.464043,-86.796974,Logos/Samford.gif
San Diego,262,Jenny Craig Pavilion,5100,San Diego,CA,32.774618,-117.183201,Logos/San Diego.gif
San Diego St.,263,Viejas Arena,12414,San Diego,CA,32.77414,-117.074195,Logos/San Diego St..gif
San Francisco,264,War Memorial Gymnasium,5300,San Francisco,CA,37.777039,-122.449339,Logos/San Francisco.gif
San Jose St.,265,Provident Credit Union Event Center,5000,San Jose,CA,37.334838,-121.880065,Logos/San Jose St..gif
Santa Clara,266,Leavey Center,4500,Santa Clara,CA,37.34957,-121.935029,Logos/Santa Clara.gif
Savannah St.,267,Tiger Arena,5000,Savannah,GA,32.023945,-81.065498,Logos/Savannah St..gif
Seattle,268,Redhawk Center,999,Seattle,WA,47.606899,-122.313552,Logos/Seattle.gif
Seton Hall,269,Prudential Center,18711,Newark,NJ,40.733667,-74.170626,Logos/Seton Hall.gif
Siena,270,Times Union Center,15229,Albany,NY,42.648783,-73.754578,Logos/Siena.gif
SIU Edwardsville,271,Vadalabene Center,4000,Edwardsville,IL,38.795942,-89.999443,Logos/SIU Edwardsville.gif
SMU,272,Moody Coliseum,7000,University Park,TX,32.840639,-96.780279,Logos/SMU.gif
South Alabama,273,Mitchell Center,10041,Mobile,AL,30.692479,-88.179379,Logos/South Alabama.gif
South Carolina,274,Colonial Life Arena,18000,Columbia,SC,33.995107,-81.036954,Logos/South Carolina.gif
South Carolina St.,275,SHM Memorial Center,3200,Orangeburg,SC,33.501244,-80.846139,Logos/South Carolina St..gif
South Dakota,276,Sanford Coyote Sports Center,6000,Vermillion,SD,42.789917,-96.927337,Logos/South Dakota.gif
South Dakota St.,277,Frost Arena,6500,Brookings,SD,44.318534,-96.779105,Logos/South Dakota St..gif
South Florida,278,Yuengling Center,10411,Tampa,FL,28.059037,-82.40557,Logos/South Florida.gif
Southeast Missouri St.,279,Show Me Center,6972,Cape Girardeau,MO,37.320227,-89.526722,Logos/Southeast Missouri St..gif
Southeastern Louisiana,280,University Center,7500,Hammond,LA,30.520467,-90.472831,Logos/Southeastern Louisiana.gif
Southern,281,F. G. Clark Center,7500,Baton Rouge,LA,30.522231,-91.185073,Logos/Southern.gif
Southern Illinois,282,Banterra Center,8339,Carbondale,IL,37.708489,-89.218197,Logos/Southern Illinois.gif
Southern Miss,283,Reed Green Coliseum,8095,Hattiesburg,MS,31.331337,-89.337285,Logos/Southern Miss.gif
Southern Utah,284,America First Event Center,5300,Cedar City,UT,37.675795,-113.072592,Logos/Southern Utah.gif
St. Bonaventure,287,Reilly Center,5480,St. Bonaventure,NY,42.079823,-78.484438,Logos/St. Bonaventure.gif
St. Francis NY,288,Generoso Pope Athletic Complex,1200,Brooklyn,NY,40.693458,-73.991629,Logos/St. Francis NY.gif
St. Francis PA,289,DeGol Arena,3500,Loretto,PA,40.504694,-78.64046,Logos/St. Francis PA.gif
St. John's,290,Madison Square Garden,19812,New York,NY,40.750691,-73.993278,Logos/St. John's.gif
Stanford,291,Maples Pavilion,7329,Stanford,CA,37.429739,-122.160376,Logos/Stanford.gif
Stephen F. Austin,292,William R. Johnson Coliseum,7203,Nacogdoches,TX,31.6225,-94.640211,Logos/Stephen F. Austin.gif
Stetson,293,Edmunds Center,5000,DeLand,FL,29.039708,-81.301429,Logos/Stetson.gif
Stony Brook,294,Island Federal Credit Union Arena,4160,Stony Brook,NY,40.917552,-73.125449,Logos/Stony Brook.gif
Syracuse,295,Carrier Dome,35446,Syracuse,NY,43.036431,-76.135651,Logos/Syracuse.gif
TCU,296,Schollmaier Arena,8500,Fort Worth,TX,32.709022,-97.366382,Logos/TCU.gif
Temple,298,Liacouras Center,10205,Philadelphia,PA,39.980034,-75.158219,Logos/Temple.gif
Tennessee,299,Thompson-Boling Arena,21678,Knoxville,TN,35.951318,-83.924596,Logos/Tennessee.gif
Tennessee Martin,300,Tom and Kathleen Elam Center,5000,Martin,TN,36.34363,-88.866534,Logos/Tennessee Martin.gif
Tennessee St.,301,Gentry Complex,10500,Nashville,TN,36.169382,-86.828765,Logos/Tennessee St..gif
Tennessee Tech,302,Eblen Center,9282,Cookeville,TN,36.178593,-85.508924,Logos/Tennessee Tech.gif
Texas,303,Frank Erwin Center,16734,Austin,TX,30.27737,-97.732559,Logos/Texas.gif
Texas A&M,304,Reed Arena,12989,College Station,TX,30.606396,-96.345524,Logos/Texas A&M.gif
Texas A&M Corpus Chris,305,American Bank Center Arena,8000,Corpus Christi,TX,27.808797,-97.392914,Logos/Texas A&M Corpus Chris.gif
Texas Pan American,306,UTRGV Fieldhouse,2500,Edinburg,TX,26.306944,-98.169393,Logos/Texas Pan American.gif
Texas Southern,307,Health and Physical Education Arena,8100,Houston,TX,29.723159,-95.365099,Logos/Texas Southern.gif
Texas St.,308,Strahan Coliseum,7200,San Marcos,TX,29.888789,-97.931825,Logos/Texas St..gif
Texas Tech,309,United Supermarkets Arena,15020,Lubbock,TX,33.581557,-101.885973,Logos/Texas Tech.gif
The Citadel,310,McAlister Field House,6000,Charleston,SC,32.79873,-79.961967,Logos/The Citadel.gif
Toledo,311,Savage Arena,7300,Toledo,OH,41.660372,-83.609119,Logos/Toledo.gif
Towson,312,SECU Arena,5200,Towson,MD,39.387563,-76.616979,Logos/Towson.gif
Troy,313,Trojan Arena,5200,Troy,AL,31.802473,-85.951927,Logos/Troy.gif
Tulane,315,Devlin Fieldhouse,3600,New Orleans,LA,29.939218,-90.120187,Logos/Tulane.gif
Tulsa,316,Reynolds Center,8355,Tulsa,OK,36.148999,-95.94188,Logos/Tulsa.gif
UAB,317,Bartow Arena,8508,Birmingham,AL,33.5025,-86.808861,Logos/UAB.gif
UC Davis,318,The Pavilion at ARC,7600,Davis,CA,38.542,-121.759349,Logos/UC Davis.gif
UC Irvine,319,Bren Events Center,4984,Irvine,CA,33.649716,-117.84667,Logos/UC Irvine.gif
UC Riverside,320,Student Recreation Center Arena,3168,Riverside,CA,33.649211,-117.841901,Logos/UC Riverside.gif
UC Santa Barbara,321,UC Santa Barbara Events Center,5600,Santa Barbara,CA,34.413907,-119.85096,Logos/UC Santa Barbara.gif
UCF,322,Addition Financial Arena,9465,Orlando,FL,28.607479,-81.196873,Logos/UCF.gif
UCLA,323,Pauley Pavilion,13800,Los Angeles,CA,34.0706,-118.446747,Logos/UCLA.gif
UMass Lowell,324,Tsongas Center at UMass Lowell,6496,Lowell,MA,42.650387,-71.312436,Logos/UMass Lowell.gif
UMBC,325,UMBC Event Center,5000,Catonsville,MD,39.25255,-76.706723,Logos/UMBC.gif
UMKC,326,Swinney Recreation Center,1500,Kansas City,MO,39.035338,-94.578305,Logos/UMKC.gif
UNC Asheville,327,Kimmel Arena,3200,Asheville,NC,35.61828,-82.568401,Logos/UNC Asheville.gif
UNC Greensboro,328,Greensboro Coliseum,7613,Greensboro,NC,36.058934,-79.825605,Logos/UNC Greensboro.gif
UNC Wilmington,329,Trask Coliseum,5200,Wilmington,NC,34.225204,-77.877678,Logos/UNC Wilmington.gif
UNLV,330,Thomas & Mack Center,18776,Paradise,NV,36.105282,-115.143775,Logos/UNLV.gif
USC,331,Galen Center,10258,Los Angeles,CA,34.021268,-118.279752,Logos/USC.gif
USC Upstate,332,G. B. Hodge Center,878,Spartanburg,SC,34.995935,-81.968303,Logos/USC Upstate.gif
UT Arlington,333,College Park Center,7000,Arlington,TX,32.730622,-97.107411,Logos/UT Arlington.gif
UT Rio Grande Valley,334,UTRGV Fieldhouse,5649,Edinburg,TX,26.306915,-98.169361,Logos/UT Rio Grande Valley.gif
Utah,335,Jon M. Huntsman Center,15000,Salt Lake City,UT,40.76228,-111.838406,Logos/Utah.gif
Utah St.,336,Smith Spectrum,10270,Logan,UT,41.747721,-111.811335,Logos/Utah St..gif
Utah Valley,337,UCCU Center,8500,Orem,UT,40.27887,-111.716641,Logos/Utah Valley.gif
UTEP,339,Don Haskins Center,12222,El Paso,TX,31.777961,-106.5055,Logos/UTEP.gif
UTSA,340,Convocation Center,4080,San Antonio,TX,29.582578,-98.621035,Logos/UTSA.gif
Valparaiso,341,Athletics-Recreation Center,5000,Valparaiso,IN,41.464392,-87.048097,Logos/Valparaiso.gif
Vanderbilt,342,Memorial Gymnasium,14316,Nashville,TN,36.144762,-86.806594,Logos/Vanderbilt.gif
VCU,343,Siegel Center,7617,Richmond,VA,37.552822,-77.452291,Logos/VCU.gif
Vermont,344,Patrick Gym,3228,Burlington,VT,44.470789,-73.194301,Logos/Vermont.gif
Villanova,345,Finneran Pavilion,6500,Villanova,PA,40.034713,-75.33602,Logos/Villanova.gif
Virginia,346,John Paul Jones Arena,14593,Charlottesville,VA,38.046172,-78.506039,Logos/Virginia.gif
Virginia Tech,347,Cassell Coliseum,10052,Blacksburg,VA,37.222835,-80.418581,Logos/Virginia Tech.gif
VMI,348,Cameron Hall,5800,Lexington,VA,37.788795,-79.436476,Logos/VMI.gif
Wagner,349,Spiro Sports Center,2100,Staten Island,NY,40.615097,-74.095268,Logos/Wagner.gif
Wake Forest,350,Lawrence Joel Veterans Memorial Coliseum,14665,Winston-Salem,NC,36.12795,-80.257021,Logos/Wake Forest.gif
Washington,351,Alaska Airlines Arena at Hec Edmundson Pavilion,10000,Seattle,WA,47.652174,-122.301598,Logos/Washington.gif
Washington St.,352,Beasley Coliseum,11671,Pullman,WA,46.735323,-117.157581,Logos/Washington St..gif
Weber St.,353,Dee Events Center,11500,Ogden,UT,41.182527,-111.944602,Logos/Weber St..gif
West Virginia,354,WVU Coliseum,14000,Morgantown,WV,39.649477,-79.980683,Logos/West Virginia.gif
Western Carolina,355,Ramsey Center,7826,Cullowhee,NC,35.303437,-83.182028,Logos/Western Carolina.gif
Western Illinois,356,Western Hall,5139,Macomb,IL,40.471558,-90.684588,Logos/Western Illinois.gif
Western Kentucky,357,E. A. Diddle Arena,7326,Bowling Green,KY,36.986479,-86.456853,Logos/Western Kentucky.gif
Western Michigan,358,University Arena,5421,Kalamazoo,MI,42.283509,-85.608462,Logos/Western Michigan.gif
Wichita St.,359,Charles Koch Arena,10506,Wichita,KS,37.721858,-97.296707,Logos/Wichita St..gif
William & Mary,360,Kaplan Arena,11300,Williamsburg,VA,37.27376,-76.719313,Logos/William & Mary.gif
Winston Salem St.,361,LJVM Coliseum Annex,4000,Winston-Salem,NC,36.128209,-80.253306,Logos/Winston Salem St..gif
Winthrop,362,Winthrop Coliseum,6100,Rock Hill,SC,34.948288,-81.014274,Logos/Winthrop.gif
Wisconsin,363,Kohl Center,17249,Madison,WI,43.069717,-89.396463,Logos/Wisconsin.gif
Wofford,364,Jerry Richardson Indoor Stadium,3400,Spartanburg,SC,34.963522,-81.93276,Logos/Wofford.gif
Wright St.,365,Nutter Center,10400,Fairborn,OH,39.782277,-84.05167,Logos/Wright St..gif
Wyoming,366,Arena-Auditorium,15028,Laramie,WY,41.313446,-105.568951,Logos/Wyoming.gif
Xavier,367,Cintas Center,10250,Cincinnati,OH,39.150605,-84.471499,Logos/Xavier.gif
Yale,368,Payne Whitney Gymnasium,2532,New Haven,CT,41.314226,-72.930117,Logos/Yale.gif
Youngstown St.,369,Beeghly Center,6500,Youngstown,OH,41.108384,-80.64846,Logos/Youngstown St..gif