Team,unique_id,New_Name
Navy,195,Navy.gif
NC Greensboro,NA,NC Greensboro.gif
NC Wilmington,NA,NC Wilmington.gif
NCCU,NA,NCCU.gif
Nebraska,196,Nebraska.gif
Nebraska Omaha,197,Nebraska Omaha.gif
Nevada,198,Nevada.gif
New Hampshire,199,New Hampshire.gif
New Mexico,200,New Mexico.gif
New Mexico St.,201,New Mexico St..gif
New Orleans,202,New Orleans.gif
Niagara,203,Niagara.gif
Nicholls St.,204,Nicholls St..gif
NJIT,205,NJIT.gif
Norfolk St.,206,Norfolk St..gif
North Alabama,207,North Alabama.gif
North Carolina,208,North Carolina.gif
North Carolina A&T,209,North Carolina A&T.gif
N.C. State,194,N.C. State.gif
North Carolina Asheville,NA,North Carolina Asheville.gif
North Dakota,211,North Dakota.gif
North Dakota St.,212,North Dakota St..gif
North Texas,214,North Texas.gif
Northeastern,215,Northeastern.gif
Northern Arizona,216,Northern Arizona.gif
Northern Colorado,217,Northern Colorado.gif
Northern Illinois,218,Northern Illinois.gif
Northern Iowa,219,Northern Iowa.gif
Northern Kentucky,220,Northern Kentucky.gif
Northern Michigan,NA,Northern Michigan.gif
Northwestern,221,Northwestern.gif
Northwestern St.,222,Northwestern St..gif
Notre Dame,223,Notre Dame.gif
Oakland,224,Oakland.gif
Ohio,225,Ohio.gif
Ohio St.,226,Ohio St..gif
Oklahoma,227,Oklahoma.gif
Oklahoma St.,228,Oklahoma St..gif
Old Dominion,229,Old Dominion.gif
Oral Roberts,230,Oral Roberts.gif
Oregon,231,Oregon.gif
Oregon St.,232,Oregon St..gif
Pacific,233,Pacific.gif
Penn,234,Penn.gif
Penn St.,235,Penn St..gif
Pepperdine,236,Pepperdine.gif
Pittsburgh,237,Pittsburgh.gif
Portland,238,Portland.gif
Portland St.,239,Portland St..gif
Prairie View A&M,240,Prairie View A&M.gif
Presbyterian,241,Presbyterian.gif
Princeton,242,Princeton.gif
Providence,243,Providence.gif
Purdue,244,Purdue.gif
Purdue Fort Wayne,245,Purdue Fort Wayne.gif
Quinnipiac,246,Quinnipiac.gif
Radford,247,Radford.gif
Rhode Island,248,Rhode Island.gif
Rice,249,Rice.gif
Richmond,250,Richmond.gif
Rider,251,Rider.gif
RIT,NA,RIT.gif
Robert Morris,252,Robert Morris.gif
RPI,NA,RPI.gif
Rutgers,253,Rutgers.gif